"Shape Area","Type","Households","Quality Flags","name","GeoUID","CSD_UID","Population","CT_UID","Dwellings","CD_UID","CMA_UID","Region Name","Area (sq km)","v_CA21_10: Total - Age","v_CA21_9: Total - Age","v_CA21_8: Total - Age","v_CA21_601: Income statistics in 2020 for the population aged 15 years and over in private households","v_CA21_646: Composition of total income in 2020 of the population aged 15 years and over in private households","v_CA21_645: Composition of total income in 2020 of the population aged 15 years and over in private households","v_CA21_600: Income statistics in 2020 for the population aged 15 years and over in private households","v_CA21_4873: Total - Visible minority for the population in private households","v_CA21_4874: Total - Visible minority for the population in private households","v_CA21_4918: Total - Ethnic or cultural origin for the population in private households","v_CA21_4919: Total - Ethnic or cultural origin for the population in private households","v_CA21_5800: Total - Secondary (high) school diploma or equivalency certificate for the population aged 15 years and over in private households","v_CA21_5801: Total - Secondary (high) school diploma or equivalency certificate for the population aged 15 years and over in private households","v_CA21_5809: Total - Secondary (high) school diploma or equivalency certificate for the population aged 25 to 64 years in private households","v_CA21_5810: Total - Secondary (high) school diploma or equivalency certificate for the population aged 25 to 64 years in private households","v_CA21_5818: Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households","v_CA21_5819: Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households","Longitude","Latitude"
1.9736,"DA",145,"0","35250030","35250030","3525005",388,"5370131.00",151,"3525","35537","35250030",1.9736,185,200,390,175,100,100,190,210,185,215,185,190,175,85,70,190,175,-79.9163797179988,43.298672917172
6.4847,"DA",163,"0","35250031","35250031","3525005",443,"5370131.00",166,"3525","35537","35250031",6.4847,220,225,440,180,100,100,155,175,205,180,205,155,180,95,105,160,180,-79.913585404318,43.2847850332628
1.0163,"DA",221,"0","35250032","35250032","3525005",567,"5370131.00",224,"3525","35537","35250032",1.0163,270,295,570,230,100,100,260,285,265,285,265,260,230,155,165,260,235,-79.9339491650979,43.2838323759098
0.2878,"DA",228,"0","35250033","35250033","3525005",637,"5370131.00",230,"3525","35537","35250033",0.2878,325,310,635,260,100,100,255,310,320,305,320,255,265,120,145,260,260,-79.9365901057785,43.2775749326191
0.6351,"DA",271,"0","35250034","35250034","3525005",642,"5370131.00",276,"3525","35537","35250034",0.6351,340,305,645,305,100,100,235,265,350,265,355,235,305,175,225,235,305,-79.9403608533248,43.2718505163796
0.116,"DA",156,"0","35250035","35250035","3525005",373,"5370131.00",158,"3525","35537","35250035",0.116,185,190,375,145,100,100,200,235,165,235,165,200,140,120,105,200,140,-79.9447734516063,43.2743552605769
0.3922,"DA",227,"0","35250036","35250036","3525005",642,"5370132.00",237,"3525","35537","35250036",0.3922,330,310,645,250,100,100,255,330,340,330,345,255,250,170,205,255,245,-79.9504669366895,43.2728271671498
0.2968,"DA",254,"0","35250037","35250037","3525005",563,"5370132.00",263,"3525","35537","35250037",0.2968,285,280,565,230,100,100,235,270,260,270,260,235,230,150,115,240,230,-79.9525191444695,43.2698876317677
0.1442,"DA",437,"0","35250038","35250038","3525005",723,"5370132.00",452,"3525","35537","35250038",0.1442,390,335,725,345,100,100,295,320,365,325,360,295,350,175,175,290,345,-79.9542661318154,43.2663859089368
0.0762,"DA",313,"0","35250039","35250039","3525005",515,"5370132.00",324,"3525","35537","35250039",0.0762,305,210,515,275,100,100,195,205,290,200,290,190,275,100,150,190,280,-79.9513633602397,43.2647047122693
