Care_Category,Care_Category_Specific,Care_Category_Speciality,Name,Unit,F_Address,Postal_Code,LATITUDE,LONGITUDE
Chid_Centric,Daycare_EarlyON,NA,St. Thomas the Apostle Catholic Elementary School,NA,"170 Skinner Road,Hamilton,ON",NA,43.3384614,-79.87711719
Chid_Centric,Daycare_EarlyON,NA,Waterdown EarlyON Child and Family Centre,NA,"315 Dundas Street East,Hamilton,ON",NA,43.3338473,-79.892598
Chid_Centric,Daycare_EarlyON,NA,Dundas Driving Park,NA,"71 Cross Street,Hamilton,ON",NA,43.2698936,-79.9528447
Chid_Centric,Daycare_EarlyON,NA,Dundas Lions Memorial Community Centre,NA,"10 Market Street South,Hamilton,ON",NA,43.2671252,-79.9632694
Chid_Centric,Daycare_EarlyON,NA,1900 Main West,NA,"1900 Main Street West,Hamilton,ON",NA,43.2502,-79.94178008
Chid_Centric,Daycare_EarlyON,NA,Fieldcote EarlyON,NA,"64 Sulphur Spring Road,Hamilton,ON",NA,43.2267185,-79.98032492
Chid_Centric,Daycare_EarlyON,NA,Westmount EarlyON,NA,"35 Lynbrook Drive,Hamilton,ON",NA,43.2283827,-79.89432466
Chid_Centric,Daycare_EarlyON,NA,Greendale,NA,"44 Greendale Drive,Hamilton,ON",NA,43.22099547,-79.90749068
Chid_Centric,Daycare_EarlyON,NA,Gourley Park,NA,"142 Duncairn Crescent,Hamilton,ON",NA,43.2188672,-79.9050683
Chid_Centric,Daycare_EarlyON,NA,Hamilton Mountain Helen Detwiler EarlyON Child and Family Centre,NA,"320 Brigade Drive,Hamilton,ON",NA,43.20250875,-79.87791345
Chid_Centric,Daycare_EarlyON,NA,Huntington Park Recreation Centre,NA,"87 Brentwood Drive,Hamilton,ON",NA,43.2212936,-79.829987
Chid_Centric,Daycare_EarlyON,NA,Cecil B. Stirling School,NA,"340 Queen Victoria Drive,Hamilton,ON",NA,43.2039736,-79.84270619
Chid_Centric,Daycare_EarlyON,NA,Binbrook Memorial Hall EarlyON Child and Family Centre,NA,"2600 Hwy 56 ,Hamilton,ON",NA,43.0979824,-79.814192
Chid_Centric,Daycare_EarlyON,NA,Winona Community Centre EarlyON,NA,"255 Winona Road,Hamilton,ON",NA,43.2086245,-79.65095738
Chid_Centric,Daycare_EarlyON,NA,Valley Park EarlyON,NA,"970 Paramount Drive,Hamilton,ON",NA,43.1944172,-79.7964696
Chid_Centric,Daycare_EarlyON,NA,Woodland EarlyON at Green Venture,NA,"22 Veevers Drive,Hamilton,ON",NA,43.2107671,-79.7855561
Chid_Centric,Daycare_EarlyON,NA,St. David EarlyON Child and Family Centre,NA,"33 Cromwell Crescent,Hamilton,ON",NA,43.22489155,-79.76733076
Chid_Centric,Daycare_EarlyON,NA,Dominic Agostino Community Centre/Riverdale,NA,"150 Violet Drive,Hamilton,ON",NA,43.2324559,-79.75693132
Chid_Centric,Daycare_EarlyON,NA,James Street EarlyON Child and Family Centre,NA,"79 James Street South,Hamilton,ON",NA,43.2474409,-79.8731866
Chid_Centric,Daycare_EarlyON,NA,Beasley EarlyON Child and Family Centre,NA,"145 Wilson Street,Hamilton,ON",NA,43.2573424,-79.8612472
Chid_Centric,Daycare_EarlyON,NA,St. Patrick EarlyON,NA,"20 East Avenue South,Hamilton,ON",NA,43.2527837,-79.8556832
Chid_Centric,Daycare_EarlyON,NA,George L. Armstrong Public School,NA,"460 Concession Street,Hamilton,ON",NA,43.240988,-79.85629967
Chid_Centric,Daycare_EarlyON,NA,On y va de Notre-Dame Hamilton,NA,"400 Cumberland Ave,Hamilton,ON",NA,43.24171215,-79.83638147
Chid_Centric,Daycare_EarlyON,NA,Bernie Morelli Recreation Centre,NA,"876 Cannon Street East,Hamilton,ON",NA,43.2513709,-79.8317729
Chid_Centric,Daycare_EarlyON,NA,Gage Park ON y va (French),NA,"1000 Main Street East,Hamilton,ON",NA,43.24073455,-79.82907992
