Care_Category,Care_Category_Specific,Care_Category_Speciality,Name,Unit,Address,Street_Name,Street_Type,Community,Province,Postal_Code,LONGITUDE,LATITUDE
Child_Centric,School,,George L. Armstrong Elementary School,,460,Concession,Street,Hamilton,ON,,,
Child_Centric,School,,Hess Street Elementary School,,107,Hess,Street North,Hamilton,ON,,,
Child_Centric,School,,Rebecca Street Alternative Education,2nd Floor,135,Rebecca,Street,Hamilton,ON,,,
Child_Centric,School,,Waterdown District Secondary School,,215,Parkside,Drive,Flamborough,ON,,,
Child_Centric,School,,Rosedale Elementary School,,25,Erindale,Avenue,Hamilton,ON,,,
Child_Centric,School,,Sir William Osler Elementary School,,330,Governors,Road,Dundas,ON,,,
Child_Centric,School,,Viscount Montgomery Elementary School,,1525,Lucerne,Avenue,Hamilton,ON,,,
Child_Centric,School,,Viola Desmond Elementary School,,50,Secord,Drive,Hamilton,ON,,,
Child_Centric,School,,Winona Elementary School,,301,Lewis,Road,Stoney Creek,ON,,,
Child_Centric,School,,St. John Henry Newman Secondary School,,127,Gray,Road,Stoney Creek,ON,,,
Child_Centric,School,,Annunciation of Our Lord Elementary School,,250,Limeridge,Road West,Hamilton,ON,,,
Child_Centric,School,,Corpus Christi Elementary School,,25,Alderson,Drive,Hamilton,ON,,,
Child_Centric,School,,St. Patrick Elementary School,,20,East,Avenue,Hamilton,ON,L8N 3X1,,
Child_Centric,School,,Regina Mundi Elementary School,,675,Mohawk,Road West,Hamilton,ON,,,
Child_Centric,School,,St. Ann (Hamilton) Elementary School,,15,St. Ann,Street,Hamilton,ON,,,
Child_Centric,School,,St. David Elementary School,,33,Cromwell,Crescent,Stoney Creek,ON,,,
Child_Centric,School,,St. Clare of Assisi Elementary School,,185,Glenashton,Drive,Stoney Creek,ON,,,
Child_Centric,School,,St. Marguerite D'Youville Elementary School,,20,Bonaparte,Way,Hamilton,ON,,,
Child_Centric,School,,St. Martin of Tours Elementary School,,60,Grays,Road,Stoney Creek,ON,,,
Child_Centric,School,,St. Lawrence Elementary School,,88,Macaulay,Street East,Hamilton,ON,,,
Child_Centric,School,,St. Margaret Mary Elementary School,,25,Brentwood,Drive,Hamilton,ON,,,
Child_Centric,School,,St. Joseph Elementary School,,270,Locke,Street South,Hamilton,ON,,,
Child_Centric,School,,St. Thomas More Secondary School,,1045,Upper Paradise,Road,Hamilton,ON,,,
Child_Centric,School,,Richard Beasley Elementary School,,80,Currie,Street,Hamilton,ON,,,
Child_Centric,School,,Bennetto Elementary School,,47,Simcoe,Street East,Hamilton,ON,,,
Child_Centric,School,,Dr. J. Edgar Davey Elementary School,,99,Ferguson,Avenue North,Hamilton,ON,,,
Child_Centric,School,,Frank Panabaker Elementary School,,295,Nakoma,Road,Ancaster,ON,,,
Child_Centric,School,,Spring Valley Elementary School,,99,Dunham,Drive,Ancaster,ON,,,
