"Care_Category","Care_Category_Specific","Care_Category_Speciality","Name","Unit","F_Address","Postal_Code","LONGITUDE","LATITUDE","lat","long"
"Child_Centric","School",NA,"George L. Armstrong Elementary School","","460 Concession Street,Hamilton,ON","",NA,NA,"43.240988",-79.85629967
"Child_Centric","School",NA,"Hess Street Elementary School","","107 Hess Street North,Hamilton,ON","",NA,NA,"43.26324515",-79.87582856
"Child_Centric","School",NA,"Rebecca Street Alternative Education","2nd Floor","135 Rebecca Street,Hamilton,ON","",NA,NA,"43.2568091",-79.8626782
"Child_Centric","School",NA,"Waterdown District Secondary School","","215 Parkside Drive,Hamilton,ON","",NA,NA,"43.33522565",-79.90988548
"Child_Centric","School",NA,"Rosedale Elementary School","","25 Erindale Avenue,Hamilton,ON","",NA,NA,"43.22480965",-79.80778081
"Child_Centric","School",NA,"Sir William Osler Elementary School","","330 Governors Road,Hamilton,ON","",NA,NA,"43.2573082",-79.97936844
"Child_Centric","School",NA,"Viscount Montgomery Elementary School","","1525 Lucerne Avenue,Hamilton,ON","",NA,NA,"43.23262195",-79.79675974
"Child_Centric","School",NA,"Viola Desmond Elementary School","","50 Secord Drive,Hamilton,ON","",NA,NA,"43.2273907",-79.77862571
"Child_Centric","School",NA,"Winona Elementary School","","301 Lewis Road,Hamilton,ON","",NA,NA,"43.2134272",-79.66106057
"Child_Centric","School",NA,"St. John Henry Newman Secondary School","","127 Gray Road,Hamilton,ON","",NA,NA,"43.22128445",-79.74624386
"Child_Centric","School",NA,"Annunciation of Our Lord Elementary School","","250 Limeridge Road West,Hamilton,ON","",NA,NA,"43.2232494",-79.89575579
"Child_Centric","School",NA,"Corpus Christi Elementary School","","25 Alderson Drive,Hamilton,ON","",NA,NA,"43.1989725",-79.8953087
"Child_Centric","School",NA,"St. Patrick Elementary School","","20 East Avenue,Hamilton,ON","L8N 3X1",NA,NA,"43.2527837",-79.8556832
"Child_Centric","School",NA,"Regina Mundi Elementary School","","675 Mohawk Road West,Hamilton,ON","",NA,NA,"43.23282095",-79.9135977
"Child_Centric","School",NA,"St. Ann (Hamilton) Elementary School","","15 St. Ann Street,Hamilton,ON","",NA,NA,"43.2555521",-79.8356483
"Child_Centric","School",NA,"St. David Elementary School","","33 Cromwell Crescent,Hamilton,ON","",NA,NA,"43.22489155",-79.76733076
"Child_Centric","School",NA,"St. Clare of Assisi Elementary School","","185 Glenashton Drive,Hamilton,ON","",NA,NA,"43.2145103",-79.71534451
"Child_Centric","School",NA,"St. Marguerite D'Youville Elementary School","","20 Bonaparte Way,Hamilton,ON","",NA,NA,"43.20377275",-79.87817471
"Child_Centric","School",NA,"St. Martin of Tours Elementary School","","60 Grays Road,Hamilton,ON","",NA,NA,"43.2367374",-79.7383913
"Child_Centric","School",NA,"St. Lawrence Elementary School","","88 Macaulay Street East,Hamilton,ON","",NA,NA,"43.26937225",-79.85949286
"Child_Centric","School",NA,"St. Margaret Mary Elementary School","","25 Brentwood Drive,Hamilton,ON","",NA,NA,"43.22343025",-79.82853266
"Child_Centric","School",NA,"St. Joseph Elementary School","","270 Locke Street South,Hamilton,ON","",NA,NA,"43.2524532",-79.88794991
"Child_Centric","School",NA,"St. Thomas More Secondary School","","1045 Upper Paradise Road,Hamilton,ON","",NA,NA,"43.2133753",-79.91771308
"Child_Centric","School",NA,"Richard Beasley Elementary School","","80 Currie Street,Hamilton,ON","",NA,NA,"43.21494155",-79.83881893
"Child_Centric","School",NA,"Bennetto Elementary School","","47 Simcoe Street East,Hamilton,ON","",NA,NA,"43.26806215",-79.86189106
"Child_Centric","School",NA,"Dr. J. Edgar Davey Elementary School","","99 Ferguson Avenue North,Hamilton,ON","",NA,NA,"43.25760565",-79.86110072
"Child_Centric","School",NA,"Frank Panabaker Elementary School","","295 Nakoma Road,Hamilton,ON","",NA,NA,"43.20812205",-79.99187871
"Child_Centric","School",NA,"Spring Valley Elementary School","","99 Dunham Drive,Hamilton,ON","",NA,NA,"43.2167125",-79.992608
"Child_Centric","School",NA,"Cecil B. Stirling Elementary School","","340 Queen Victoria Drive,Hamilton,ON","",NA,NA,"43.2039736",-79.84270619
"Child_Centric","School",NA,"Earl Kitchener Elementary School","","300 Dundurn Street South,Hamilton,ON","",NA,NA,"43.2526609",-79.89277492
"Child_Centric","School",NA,"Buchanan Park Elementary School","","30 Laurier Avenue,Hamilton,ON","",NA,NA,"43.2339166",-79.8890718
"Child_Centric","School",NA,"A.M. Cunningham Elementary School","","100 Wexford Avenue South,Hamilton,ON","",NA,NA,"43.2372646",-79.81527024
"Child_Centric","School",NA,"Southern Ontario Collegiate","","29 Rebecca Street,Hamilton,ON","",NA,NA,"43.258175",-79.867094
"Child_Centric","School",NA,"Ridgemount Elementary School","","65 Hester Street,Hamilton,ON","",NA,NA,"43.2250677",-79.87935559
"Child_Centric","School",NA,"Parkdale Elementary School","","139 Parkdale Avenue North,Hamilton,ON","",NA,NA,"43.24051805",-79.79116649
"Child_Centric","School",NA,"Guido De Brès Christian High School","","420 Crerar Drive,Hamilton,ON","",NA,NA,"43.2088999",-79.8737581
"Child_Centric","School",NA,"École secondaire Georges- P.-Vanier","","100 Macklin Street North,Hamilton,ON","",NA,NA,"43.26582935",-79.89455832
"Child_Centric","School",NA,"Chedoke Elementary School","","500 Bendamere Avenue,Hamilton,ON","",NA,NA,"43.23871075",-79.90637334
"Child_Centric","School",NA,"St. James the Apostle Elementary School","","29 John Murray Street,Hamilton,ON","",NA,NA,"43.1911602",-79.7832835
"Child_Centric","School",NA,"St. Augustine Elementary School","","25 Alma Street,Hamilton,ON","",NA,NA,"43.2706892",-79.95543567
"Child_Centric","School",NA,"Kehila Jewish Community Day School","","215 Cline Avenue North,Hamilton,ON","",NA,NA,"43.2634353",-79.9025743
"Child_Centric","School",NA,"St. Ann (Ancaster) Elementary School","","24 Fiddler's Green Road,Hamilton,ON","",NA,NA,"43.21874241",-79.98772363
"Child_Centric","School",NA,"Mount Albion Elementary School","","24 Kennard Street,Hamilton,ON","",NA,NA,"43.1888812",-79.79158334
"Child_Centric","School",NA,"Bellmoore Elementary School","","35 Pumpkin Pass,Hamilton,ON","",NA,NA,"43.1255583",-79.81292394
"Child_Centric","School",NA,"St. Luke Elementary School","","345 Albright Road,Hamilton,ON","",NA,NA,"43.2189669",-79.7959287
"Child_Centric","School",NA,"Sherwood Secondary School","","25 High Street,Hamilton,ON","",NA,NA,"43.22757995",-79.82281037
"Child_Centric","School",NA,"Queensdale Elementary School","","67 Queensdale Avenue East,Hamilton,ON","",NA,NA,"43.24208775",-79.8726759
"Child_Centric","School",NA,"Canadian Martyrs' Elementary School","","1355 Main Street West,Hamilton,ON","",NA,NA,"43.2571202",-79.92106256
"Child_Centric","School",NA,"St. Mary Secondary School","","200 Whitney Avenue,Hamilton,ON","",NA,NA,"43.2546545",-79.9278821
"Child_Centric","School",NA,"Millgrove Elementary School","","375 5th Concession West ,Hamilton,ON","",NA,NA,"43.33657662",-79.96048307
"Child_Centric","School",NA,"Columbia International College","","1033 Main Street West,Hamilton,ON","",NA,NA,"43.2582659",-79.9077967
"Child_Centric","School",NA,"St. Michael Elementary School","","135 Hester Street,Hamilton,ON","",NA,NA,"43.2242173",-79.87450656
"Child_Centric","School",NA,"Cathedral High School","","30 Wentworth Street North,Hamilton,ON","",NA,NA,"43.25314395",-79.84748757
"Child_Centric","School",NA,"Memorial (Hamilton) Elementary School","","1175 Main Street East,Hamilton,ON","",NA,NA,"43.2434957",-79.82029794
"Child_Centric","School",NA,"Sir Winston Churchill Secondary School","","1715 Main Street East,Hamilton,ON","",NA,NA,"43.2378776",-79.79521265
"Child_Centric","School",NA,"St. Eugene Elementary School","","120 Parkdale Avenue South,Hamilton,ON","",NA,NA,"43.2337355",-79.79410678
"Child_Centric","School",NA,"Ancaster Meadow Elementary School","","93 Kitty Murray Lane,Hamilton,ON","",NA,NA,"43.2213656",-79.95177164
"Child_Centric","School",NA,"Gatestone Elementary School","","127 Gatestone Drive,Hamilton,ON","",NA,NA,"43.18181805",-79.78940882
"Child_Centric","School",NA,"Adelaide Hoodless Elementary School","","71 Maplewood Avenue,Hamilton,ON","",NA,NA,"43.24579395",-79.8370187
"Child_Centric","School",NA,"Balaclava Elementary School","","280 10 Concession Road East,Hamilton,ON","",NA,NA,"43.3998381",-80.0355532
"Child_Centric","School",NA,"St. Vincent De Paul Elementary School","","295 Green Cedar Drive,Hamilton,ON","",NA,NA,"43.22288034",-79.92253716
"Child_Centric","School",NA,"Sir Allan MacNab Secondary School","","145 Magnolia Drive,Hamilton,ON","",NA,NA,"43.2305748",-79.92145374
"Child_Centric","School",NA,"Flamborough Centre Elementary School","","922 Centre Road,Hamilton,ON","",NA,NA,"43.35898795",-79.93196498
"Child_Centric","School",NA,"Lake Avenue Elementary School","","157 Lake Avenue North,Hamilton,ON","",NA,NA,"43.23180435",-79.7565229
"Child_Centric","School",NA,"Glendale Secondary School","","145 Rainbow Drive,Hamilton,ON","",NA,NA,"43.22604015",-79.77914621
"Child_Centric","School",NA,"Our Lady of Mount Carmel Elementary School","","1624 Centre Road,Hamilton,ON","",NA,NA,"43.4042111",-79.99435731
"Child_Centric","School",NA,"Eastdale Elementary School","","99 Lincoln Road,Hamilton,ON","",NA,NA,"43.2250143",-79.7352323
